campaign_id,movie_id,channel,spend_usd,campaign_start,campaign_end,impressions,clicks,conversions,cpm,ctr,cost_per_conversion
1,1,Social Media,2587712.34,2024-12-24,2025-02-03,493703887,24004994,888272,5.24,4.86,2.91
2,1,Influencer,1276879.3,2024-12-13,2025-03-12,220411838,4052835,130536,5.79,1.84,9.78
3,1,Display Ads,845793.86,2024-12-21,2025-02-20,87123330,4038154,61672,9.71,4.63,13.71
4,1,Streaming Pre-roll,943086.29,2024-12-05,2025-02-28,92187079,4478199,33451,10.23,4.86,28.19
5,1,OOH Billboard,589170.26,2024-12-31,2025-02-23,51383940,0,0,11.47,0,
6,1,TV Spot,563374.29,2024-12-31,2025-03-07,84056937,3546079,79906,6.7,4.22,7.05
7,1,Email,166835.79,2024-12-20,2025-03-16,33145852,1129587,40975,5.03,3.41,4.07
8,2,Search Ads,2283681.55,2024-07-02,2024-09-01,238410464,2483830,64309,9.58,1.04,35.51
9,2,Email,2125933.77,2024-07-04,2024-08-25,263770929,3901028,82731,8.06,1.48,25.7
10,2,Display Ads,1223759.13,2024-07-20,2024-09-04,209890318,2359470,30728,5.83,1.12,39.83
11,3,Influencer,2997671.68,2024-10-20,2025-01-12,498750344,29538200,166673,6.01,5.92,17.99
12,3,TV Spot,1742643.26,2024-10-07,2024-12-21,142123820,2747205,14246,12.26,1.93,122.33
13,3,Display Ads,664192.43,2024-10-13,2025-01-02,68854241,2779091,96179,9.65,4.04,6.91
14,4,Influencer,1081781.43,2025-01-16,2025-03-04,208101197,4059964,101468,5.2,1.95,10.66
15,4,Search Ads,1243139.43,2025-01-12,2025-03-31,222114206,7799352,188026,5.6,3.51,6.61
16,4,Streaming Pre-roll,1012049.32,2025-01-30,2025-03-07,189784051,8397549,273648,5.33,4.42,3.7
17,4,Social Media,464105.63,2025-01-15,2025-04-03,43661257,1994562,78470,10.63,4.57,5.91
18,4,Display Ads,273732.19,2025-01-06,2025-03-31,28385474,746392,14430,9.64,2.63,18.97
19,5,Influencer,2376194.67,2024-07-23,2024-10-11,265087938,9209910,97130,8.96,3.47,24.46
20,5,TV Spot,2638777.52,2024-08-11,2024-10-10,520384575,6349119,42344,5.07,1.22,62.32
21,5,OOH Billboard,1920304.22,2024-08-13,2024-09-24,295753616,0,0,6.49,0,
22,5,Display Ads,1390502.95,2024-07-23,2024-10-13,127395008,1834350,53140,10.91,1.44,26.17
23,5,Search Ads,1201228.42,2024-08-20,2024-09-26,124874429,4563760,63533,9.62,3.65,18.91
24,5,Email,1053942.43,2024-08-01,2024-11-03,106767969,3717302,27254,9.87,3.48,38.67
25,6,TV Spot,237046.7,2025-02-07,2025-04-27,39322812,506359,16993,6.03,1.29,13.95
26,6,Influencer,314560.58,2025-01-21,2025-04-30,27079183,653743,14653,11.62,2.41,21.47
