record_id,movie_id,city,country,year,month,total_views,total_watch_minutes,rewatch_count,estimated_revenue_usd,avg_rating,num_reviews,engagement_score
1,2,Dubai,UAE,2025,2,2,212,2,6.01,,0,54.9
2,22,Toronto,Canada,2024,11,5,439,1,13.43,3.83,3,29.9
3,3,London,UK,2024,12,5,617,1,12.71,4.25,2,33.5
4,11,Kolkata,India,2025,2,11,1065,3,32.89,4.3,5,35.5
5,2,Delhi,India,2025,3,6,613,2,19.65,4.38,4,35.6
6,1,Los Angeles,USA,2025,1,31,3152,3,115.29,4.29,7,41.2
7,4,Pune,India,2025,2,11,843,1,32.94,4.25,2,28.4
8,25,Mumbai,India,2024,11,5,524,0,15.64,,0,25.3
9,23,Delhi,India,2025,2,12,923,2,34.66,3.83,3,30.8
10,11,Los Angeles,USA,2025,4,19,1722,5,68.37,4.3,5,36.9
11,1,London,UK,2025,1,33,3414,3,118.28,4.59,11,42.2
12,2,Kolkata,India,2025,3,4,336,0,13.94,4.25,2,20.7
13,25,Delhi,India,2024,9,4,387,2,14.23,4.0,2,38.1
14,21,Bengaluru,India,2025,4,57,6536,6,155.12,4.4,21,48.2
15,18,New York,USA,2024,12,7,766,1,17.56,3.25,2,30.2
16,3,Chicago,USA,2025,2,7,700,0,18.56,4.17,3,23.5
17,1,Mumbai,India,2025,4,25,2590,4,84.51,4.57,7,41.1
18,9,Chicago,USA,2025,4,35,3481,6,111.8,4.31,8,40.8
19,5,Hyderabad,India,2025,4,3,258,1,8.36,4.33,3,32.3
20,5,Los Angeles,USA,2024,9,5,434,2,12.07,5.0,1,35.3
21,11,Hyderabad,India,2025,3,9,753,2,26.86,4.17,6,30.0
22,1,Mumbai,India,2025,3,34,3477,5,119.12,4.55,11,44.0
23,5,Ahmedabad,India,2025,4,5,498,0,17.23,4.5,1,26.5
24,22,Chennai,India,2025,3,10,819,1,35.9,3.75,2,27.5
25,4,New York,USA,2025,3,24,1818,2,55.8,4.17,9,33.1
26,8,Ahmedabad,India,2025,3,5,267,0,8.64,2.5,3,20.2
27,10,Los Angeles,USA,2024,12,5,425,1,14.91,3.67,3,30.2
28,4,Bengaluru,India,2025,4,19,1687,2,58.96,4.1,10,35.4
29,13,Chennai,India,2025,3,14,1291,3,51.13,4.21,7,31.8
30,21,Singapore,Singapore,2025,3,4,541,2,10.34,4.5,2,42.8
31,24,Chicago,USA,2025,1,3,223,1,7.42,3.25,2,32.4
32,7,Chennai,India,2025,1,9,376,3,12.74,2.5,6,27.5
33,15,Chennai,India,2025,3,22,1830,3,50.34,3.88,8,33.9
34,21,Mumbai,India,2025,4,63,7202,16,171.7,4.16,28,54.9
35,11,Houston,USA,2025,2,13,1174,3,38.44,3.8,5,33.5
36,3,Pune,India,2025,4,9,898,1,22.45,4.33,3,27.6
37,22,Chicago,USA,2025,3,4,302,0,13.46,3.5,1,20.5
38,15,Los Angeles,USA,2025,3,19,1590,5,55.74,3.33,6,36.6
39,15,Chennai,India,2025,4,15,1440,2,44.59,3.5,7,34.2
40,19,Delhi,India,2025,4,95,8979,6,260.74,4.04,39,62.6
41,1,Toronto,Canada,2025,3,14,1418,5,47.65,4.5,2,42.1
42,24,Sydney,Australia,2024,12,3,244,1,5.99,3.5,1,34.4
43,23,Kolkata,India,2025,4,8,685,2,18.25,3.5,3,34.1
44,23,Hyderabad,India,2025,3,17,1380,1,38.44,3.86,7,30.7
45,24,Bengaluru,India,2025,3,13,984,2,24.65,3.42,6,31.4
46,6,Toronto,Canada,2025,3,5,192,0,8.77,2.75,2,14.1
47,2,Sydney,Australia,2025,3,3,253,0,8.15,4.0,1,20.4
48,1,Chicago,USA,2025,1,29,2951,3,107.11,4.5,7,40.6
49,2,Chennai,India,2025,2,4,405,2,14.04,3.5,2,39.6
50,1,Bengaluru,India,2025,1,36,3849,9,94.81,4.54,14,49.1
51,14,New York,USA,2024,7,6,546,2,16.34,3.75,2,33.4
52,4,Toronto,Canada,2025,3,9,634,1,20.03,3.33,3,26.5
53,14,Kolkata,India,2025,2,2,202,0,6.83,,0,24.1
54,9,Toronto,Canada,2025,4,16,1498,3,49.02,4.57,7,32.4
55,1,Chennai,India,2025,2,13,1344,2,40.31,4.5,6,36.1
56,5,Toronto,Canada,2025,4,4,347,1,12.62,,0,30.4
57,12,London,UK,2025,3,7,524,2,14.45,4.0,5,33.4
58,5,Los Angeles,USA,2024,10,4,345,0,9.99,,0,22.8
59,25,Delhi,India,2025,2,4,435,0,13.32,3.5,1,25.8
60,3,Chicago,USA,2025,1,5,582,2,15.63,4.25,2,38.1
61,9,Ahmedabad,India,2025,4,16,1528,1,47.22,4.4,5,29.0
62,9,Houston,USA,2025,4,35,3087,3,95.63,4.43,14,35.7
63,1,Toronto,Canada,2025,1,13,1366,2,36.92,4.38,4,36.5
64,10,Toronto,Canada,2024,8,3,270,0,7.06,3.67,3,24.7
65,18,Mumbai,India,2025,1,10,1083,1,30.95,3.67,3,29.9
66,24,Chicago,USA,2025,3,6,401,3,15.0,3.5,2,36.5
67,10,Mumbai,India,2024,11,5,459,0,13.68,3.75,2,25.9
68,11,Pune,India,2025,4,11,1114,3,35.72,4.5,2,36.5
69,13,London,UK,2025,4,34,3338,6,118.18,3.92,12,39.9
70,9,Delhi,India,2025,4,59,6143,6,140.23,4.34,25,49.3
71,1,Mumbai,India,2025,2,41,4195,6,124.25,4.65,13,46.8
72,5,Manchester,UK,2024,9,4,327,1,12.16,4.25,2,29.2
73,11,Toronto,Canada,2025,3,10,1031,1,30.45,3.75,4,31.4
74,2,Toronto,Canada,2025,2,4,497,0,14.33,3.5,2,29.8
75,13,Mumbai,India,2025,4,53,5551,5,188.21,4.28,20,46.5
76,15,Singapore,Singapore,2025,3,11,985,2,29.07,3.8,5,32.4
77,16,Kolkata,India,2025,4,6,463,0,11.07,3.12,4,26.0
78,23,Chicago,USA,2025,4,14,1102,4,38.96,3.9,5,35.6
79,7,London,UK,2025,1,6,210,2,10.36,3.25,2,24.1
80,13,Kolkata,India,2025,4,34,3376,5,113.02,4.12,13,39.3
81,19,Hyderabad,India,2025,4,35,3251,6,94.19,4.05,11,41.4
82,18,Sydney,Australia,2024,12,3,314,0,8.39,4.0,1,23.3
83,6,Bengaluru,India,2025,4,13,621,3,18.69,3.06,9,27.2
84,10,Bengaluru,India,2025,3,2,230,0,5.38,3.5,1,30.8
85,9,Melbourne,Australia,2025,4,18,1896,1,44.05,3.89,9,31.8
86,21,Pune,India,2025,4,37,4306,8,87.19,4.38,17,43.8
87,12,Singapore,Singapore,2025,3,2,146,0,4.85,4.0,1,22.3
88,18,Los Angeles,USA,2024,10,7,738,1,20.25,3.88,4,29.4
89,22,Hyderabad,India,2025,1,5,472,2,15.54,3.83,3,37.6
90,3,New York,USA,2025,2,11,1148,1,36.29,4.3,5,28.7
91,22,Bengaluru,India,2025,2,9,738,3,22.04,3.62,4,34.1
92,8,Mumbai,India,2025,3,19,898,5,27.08,2.75,6,31.6
93,10,Chennai,India,2024,7,2,119,1,5.98,3.0,1,31.3
94,1,Ahmedabad,India,2025,2,10,1017,1,31.57,4.83,3,32.9
95,22,Houston,USA,2025,1,7,618,3,18.61,3.67,3,37.7
96,3,Kolkata,India,2025,1,4,380,1,11.93,4.25,2,28.8
97,25,Bengaluru,India,2024,7,5,401,0,15.49,4.0,4,19.8
98,4,Delhi,India,2025,3,17,1318,3,45.67,3.83,6,33.6
99,14,Houston,USA,2024,9,3,333,0,10.52,4.0,1,26.8
100,18,Bengaluru,India,2024,10,6,629,0,19.53,3.75,2,24.5
101,14,Pune,India,2024,11,4,325,1,10.49,3.0,1,27.9
102,7,Bengaluru,India,2024,12,8,363,2,11.33,3.12,4,25.8
103,11,Los Angeles,USA,2025,2,13,1247,2,39.2,4.0,3,32.5
104,21,Toronto,Canada,2025,4,16,1765,1,53.1,4.42,6,29.6
105,25,Houston,USA,2025,3,4,374,1,12.35,3.5,2,29.9
106,2,Chicago,USA,2025,3,2,190,1,5.97,,0,37.4
107,25,Manchester,UK,2025,2,2,183,0,6.49,4.0,1,21.1
108,1,Chicago,USA,2025,4,8,884,2,24.53,4.25,4,38.8
109,22,Delhi,India,2024,12,10,889,1,24.63,3.17,3,29.2
110,14,Chicago,USA,2024,12,3,251,1,10.68,4.0,1,30.5
111,4,Mumbai,India,2025,2,10,809,2,26.7,,0,32.5
112,15,Delhi,India,2025,4,29,2848,5,82.58,3.71,12,41.5
113,19,Chennai,India,2025,4,37,3605,5,120.01,4.29,12,42.2
114,23,Melbourne,Australia,2025,4,11,945,4,26.85,4.0,6,38.7
115,7,Chicago,USA,2025,1,7,307,2,11.28,2.4,5,26.0
116,12,Delhi,India,2024,11,10,802,1,25.57,3.75,4,30.6
