review_id,viewer_id,movie_id,rating,review_date,sentiment,review_text,helpful_votes
1,735,3,3.5,2024-12-14,Neutral,Worth a one-time watch.,7
2,89,20,2.0,2024-10-11,Negative,Would not recommend.,103
3,816,11,4.5,2025-02-04,Positive,One of the best this year.,67
4,558,2,3.5,2025-03-14,Neutral,Worth a one-time watch.,25
5,429,2,4.0,2024-12-13,Positive,Absolutely loved it!,118
6,221,1,5.0,2025-01-16,Positive,Great performances all around.,26
7,547,4,4.5,2025-02-20,Positive,Exceeded my expectations.,117
8,1046,1,5.0,2025-01-31,Positive,Top-tier storytelling.,55
9,671,2,5.0,2025-03-31,Positive,Exceeded my expectations.,18
10,151,25,4.5,2024-09-17,Positive,Top-tier storytelling.,6
11,890,3,4.5,2025-03-02,Positive,Gripping from start to finish.,88
12,323,5,4.5,2025-04-10,Positive,Gripping from start to finish.,46
13,115,11,3.5,2025-03-12,Neutral,Average for its genre.,47
14,419,1,4.5,2025-03-13,Positive,Gripping from start to finish.,46
15,10,5,4.5,2025-04-02,Positive,Gripping from start to finish.,75
16,995,22,4.5,2025-03-23,Positive,Exceeded my expectations.,33
17,11,4,5.0,2025-03-16,Positive,Will watch again.,46
18,412,8,3.0,2025-03-26,Neutral,Worth a one-time watch.,98
19,1179,4,4.0,2025-04-24,Positive,Top-tier storytelling.,101
20,532,13,5.0,2025-03-29,Positive,A visual masterpiece.,24
21,479,21,4.5,2025-03-29,Positive,Absolutely loved it!,42
22,33,7,3.5,2025-01-21,Neutral,Had its highs and lows.,10
23,273,15,4.0,2025-03-09,Positive,Top-tier storytelling.,95
24,694,19,4.0,2025-04-18,Positive,Exceeded my expectations.,105
25,630,1,5.0,2025-03-23,Positive,Gripping from start to finish.,52
26,357,24,3.5,2024-12-29,Neutral,Worth a one-time watch.,74
27,1152,23,4.0,2025-03-10,Positive,Exceeded my expectations.,65
28,963,24,3.5,2025-03-07,Neutral,Average for its genre.,95
29,876,18,4.0,2024-10-29,Positive,Top-tier storytelling.,61
30,749,14,3.0,2024-07-24,Neutral,Some good moments.,113
31,738,9,5.0,2025-04-19,Positive,Will watch again.,83
32,884,1,3.5,2025-02-04,Neutral,Decent watch.,85
33,540,12,4.5,2025-03-21,Positive,A visual masterpiece.,43
34,240,1,4.5,2025-01-28,Positive,Great performances all around.,92
35,886,10,3.5,2024-08-24,Neutral,Average for its genre.,1
36,922,18,4.0,2025-01-19,Positive,Will watch again.,67
37,838,10,3.0,2024-11-10,Neutral,Some good moments.,99
38,858,13,3.5,2025-04-17,Neutral,Some good moments.,8
39,424,9,3.5,2025-04-25,Neutral,Had its highs and lows.,17
40,1125,11,3.0,2025-03-12,Neutral,Worth a one-time watch.,75
41,383,16,2.0,2025-04-17,Negative,The plot made no sense.,25
42,711,23,4.0,2025-04-26,Positive,Exceeded my expectations.,49
43,864,13,4.5,2025-04-18,Positive,Absolutely loved it!,20
44,594,18,4.0,2024-12-11,Positive,A visual masterpiece.,66
45,1148,10,3.5,2025-03-20,Neutral,Decent watch.,36
46,199,9,4.0,2025-04-15,Positive,One of the best this year.,73
47,148,21,4.5,2025-04-20,Positive,Exceeded my expectations.,59
48,93,22,4.0,2025-02-09,Positive,Exceeded my expectations.,103
49,391,10,3.0,2024-07-28,Neutral,Decent watch.,19
50,767,1,5.0,2025-02-16,Positive,Top-tier storytelling.,1
51,437,3,3.5,2025-01-15,Neutral,Nothing special but enjoyable.,17
52,527,25,3.5,2024-07-22,Neutral,Nothing special but enjoyable.,48
53,1176,11,4.0,2025-03-07,Positive,Will watch again.,88
54,161,7,2.5,2025-01-09,Neutral,Decent watch.,78
55,420,7,3.5,2024-12-23,Neutral,Nothing special but enjoyable.,71
56,616,11,3.5,2025-02-24,Neutral,Decent watch.,92
57,216,19,4.5,2025-04-14,Positive,Highly recommend.,113
58,252,23,3.5,2025-04-15,Neutral,Average for its genre.,0
