activity_id,viewer_id,movie_id,watch_date,watch_duration_minutes,completion_rate,device,platform,rewatched
1,791,2,2025-02-18,99,0.75,Smart TV,iOS,True
2,1071,22,2024-11-06,97,0.81,Laptop,Web,True
3,735,3,2024-12-13,129,0.89,Smart TV,Web,False
4,89,20,2024-10-08,56,0.61,Mobile,Web,False
5,816,11,2025-02-04,114,0.9,Laptop,Web,True
6,558,2,2025-03-13,102,0.78,Tablet,iOS,False
7,429,2,2024-12-13,93,0.71,Mobile,iOS,False
8,221,1,2025-01-16,97,0.83,Smart TV,TV App,True
9,547,4,2025-02-20,91,0.85,Smart TV,Web,False
10,653,25,2024-11-26,135,1.0,Laptop,Android,False
11,243,23,2025-02-17,61,0.56,Mobile,Android,False
12,557,11,2025-04-30,105,0.83,Tablet,Web,False
13,1046,1,2025-01-30,97,0.83,Smart TV,Android,False
14,671,2,2025-03-28,84,0.64,Smart TV,Web,False
15,151,25,2024-09-14,108,0.8,Smart TV,Web,False
16,504,21,2025-04-24,102,0.66,Mobile,Android,False
17,475,18,2024-12-18,106,0.75,Laptop,iOS,False
18,890,3,2025-02-28,120,0.83,Smart TV,Web,False
19,1159,1,2025-04-08,115,0.98,Smart TV,Web,False
20,463,9,2025-04-24,102,0.74,Mobile,Android,False
21,323,5,2025-04-07,69,0.57,Laptop,Web,False
22,668,5,2024-09-26,85,0.7,Desktop,iOS,True
23,115,11,2025-03-11,116,0.92,Desktop,Android,False
24,419,1,2025-03-11,109,0.93,Laptop,Android,False
25,10,5,2025-04-02,108,0.89,Smart TV,iOS,False
26,995,22,2025-03-23,87,0.73,Laptop,iOS,False
27,11,4,2025-03-15,87,0.81,Mobile,Web,False
28,412,8,2025-03-26,65,0.74,Laptop,iOS,False
29,772,10,2024-12-20,97,0.85,Smart TV,TV App,True
30,1179,4,2025-04-23,49,0.46,Mobile,Android,True
31,532,13,2025-03-28,107,0.77,Mobile,iOS,False
32,479,21,2025-03-29,110,0.71,Desktop,TV App,False
33,415,24,2025-01-27,76,0.73,Smart TV,Web,True
34,33,7,2025-01-19,38,0.43,Smart TV,TV App,False
35,273,15,2025-03-07,110,0.93,Smart TV,Web,False
36,1159,21,2025-04-24,94,0.61,Smart TV,iOS,False
37,834,11,2025-02-24,116,0.92,Mobile,Web,False
38,818,3,2025-04-24,66,0.46,Desktop,Web,False
39,1067,22,2025-03-17,45,0.38,Smart TV,iOS,False
40,1143,15,2025-03-18,86,0.73,Smart TV,Web,True
41,216,15,2025-04-04,90,0.76,Laptop,TV App,False
42,694,19,2025-04-18,82,0.66,Mobile,iOS,False
43,630,1,2025-03-22,96,0.82,Smart TV,Web,False
44,357,24,2024-12-29,73,0.7,Laptop,Android,False
45,1194,23,2025-04-08,79,0.72,Mobile,TV App,False
46,1152,23,2025-03-09,85,0.78,Tablet,Android,False
47,963,24,2025-03-05,84,0.8,Desktop,Android,True
48,743,6,2025-03-21,12,0.13,Tablet,Android,False
49,923,2,2025-03-26,58,0.44,Smart TV,Android,False
50,1084,4,2025-03-15,81,0.75,Smart TV,TV App,False
51,1109,1,2025-01-17,109,0.93,Mobile,Android,False
52,141,2,2025-02-11,100,0.76,Smart TV,Android,False
53,876,18,2024-10-28,124,0.88,Smart TV,TV App,False
54,356,1,2025-01-23,116,0.99,Smart TV,Web,False
55,889,1,2025-01-21,106,0.9,Desktop,Web,False
56,749,14,2024-07-24,89,0.69,Smart TV,Android,True
57,1193,4,2025-03-20,83,0.77,Smart TV,iOS,True
58,320,14,2025-02-06,97,0.75,Mobile,TV App,False
59,738,9,2025-04-17,69,0.5,Mobile,Android,False
60,884,1,2025-02-03,101,0.86,Laptop,Web,False
61,1071,5,2025-04-07,71,0.59,Tablet,iOS,False
62,540,12,2025-03-19,57,0.56,Tablet,Web,True
63,541,5,2024-10-29,122,1.0,Smart TV,Web,False
64,202,25,2025-02-23,85,0.63,Smart TV,Web,False
65,574,1,2025-01-23,105,0.89,Tablet,Android,False
66,1102,3,2025-01-11,116,0.8,Smart TV,iOS,True
67,92,9,2025-04-30,138,1.0,Mobile,Web,False
68,834,9,2025-04-17,84,0.61,Laptop,Android,False
69,240,1,2025-01-27,99,0.84,Laptop,Android,False
70,886,10,2024-08-24,102,0.89,Mobile,Web,False
71,922,18,2025-01-19,65,0.46,Smart TV,Web,True
72,1146,24,2025-03-23,105,1.0,Smart TV,iOS,True
73,838,10,2024-11-09,70,0.61,Smart TV,iOS,False
74,290,11,2025-04-25,127,1.0,Mobile,Web,False
75,858,13,2025-04-14,130,0.93,Mobile,Web,True
76,424,9,2025-04-22,132,0.96,Tablet,iOS,False
77,402,1,2025-02-05,103,0.88,Laptop,iOS,False
78,848,5,2024-09-09,97,0.8,Smart TV,TV App,False
79,1125,11,2025-03-11,113,0.89,Smart TV,TV App,False
80,116,2,2025-02-18,129,0.98,Mobile,Web,False
81,763,13,2025-04-01,106,0.76,Smart TV,Android,False
82,720,2,2025-03-10,108,0.82,Smart TV,iOS,False
83,498,1,2025-01-26,105,0.89,Desktop,Android,False
84,681,15,2025-03-17,73,0.62,Tablet,Android,False
85,383,16,2025-04-16,98,1.0,Smart TV,iOS,False
86,711,23,2025-04-25,88,0.8,Mobile,iOS,True
87,1040,7,2025-01-19,34,0.38,Smart TV,iOS,True
88,864,13,2025-04-17,56,0.4,Mobile,Web,False
89,105,19,2025-04-25,88,0.71,Mobile,Android,False
90,594,18,2024-12-09,113,0.8,Laptop,Web,False
91,980,6,2025-04-25,51,0.54,Laptop,TV App,False
92,1148,10,2025-03-17,115,1.0,Mobile,iOS,False
93,199,9,2025-04-14,103,0.75,Tablet,Web,False
94,148,21,2025-04-20,144,0.93,Smart TV,iOS,False
95,698,12,2025-03-07,68,0.67,Laptop,TV App,False
96,598,18,2024-10-07,82,0.58,Smart TV,Web,True
97,1152,22,2025-01-03,110,0.92,Laptop,Web,False
